category,product_name,description,condition,price,stock
PlayStation,Final Fantasy Tactics,"Tactical RPG with deep job system and political story. Cult favorite.",Mint,49.99,2
PlayStation,Vagrant Story,"Action RPG with complex weapon system and cinematic storytelling.",Excellent,44.99,1
Game Boy,The Legend of Zelda: Link's Awakening,"Zelda on the go with a unique dream-world setting. No Princess Zelda.",Excellent,24.99,3
Game Boy,Donkey Kong Land,"Pocket-sized Donkey Kong platformer with graphics reminiscent of the SNES game.",Good,10.99,4
Game Boy,Pokémon Red,"The game that started the phenomenon. Choose Charmander, Squirtle, or Bulbasaur.",Mint,89.99,2
Game Boy,Pokémon Blue,"The counterpart to Red. Catch 'em all!",Good,79.99,2
Game Boy Advance,The Legend of Zelda: The Minish Cap,"Capcom-developed Zelda with shrinking mechanic. Beautiful pixel art.",Excellent,64.99,1
Game Boy Advance,Advance Wars,"Turn-based tactics with colorful commanders. Addictive and deep.",Good,24.99,3
Game Boy Advance,Fire Emblem,"First Fire Emblem to release in the West. Strategic RPG with permadeath.",Excellent,39.99,2
Accessories,N64 Transfer Pak,"Connects Game Boy games to N64 for use in Pokémon Stadium and other titles.",Good,14.99,4
Accessories,Dreamcast Keyboard,"Official keyboard for Dreamcast. Essential for Typing of the Dead and Phantasy Star Online.",Excellent,29.99,2
Accessories,SNES Mouse,"Nintendo's official mouse for Mario Paint and other compatible games.",Good,17.99,3
Memorabilia,Game Boy Camera,"The original digital camera for Game Boy. Prints using the Game Boy Printer.",Acceptable,24.99,2
Memorabilia,Game Boy Printer,"Thermal printer for Game Boy. Works with Camera and other games.",Good,29.99,1
Memorabilia,Super Mario Bros. 3 Official Guide,"Nintendo Power strategy guide for SMB3. Great condition.",Excellent,19.99,2
